ACP_alignment_refined.fasta	ACP
AA_alignment.fasta AA
FkbH_alignment.fasta FkbH
FkbM_alignment.fasta FkbM
AL_alignment.fasta	AL
Branching_domains.fasta	B
C_domains.fasta	C
CR_alignment.fasta	CR
Cyc_alignment_caution_very_similar_to_C_domains.fasta	Cyc
DH_alignment_muscle_new.fasta	DH
ER_alignment_refined.fasta	ER
GNAT_alignment_refined.fasta	GNAT
248_KR_sequences_position_169.fasta	KR
KS_non-transAT.fasta	KS_non_transAT
MT_alignment.fasta	MT
OMT_alignment.fasta	OMT
OX_alignment_refined.fasta	OX
PS_alignment_refined.fasta	PS
TE_alignment_refined.fasta	TE
malonyl_transferase_ATs.fasta	AT
proofreading_ATs.fasta	AH
